No PTT port
decay = 1.444046e-05
samples per bit = 40.000
Filter for de-emphasis of 3dB is not availabe, using 6dB
Available filter length 40
Available filter length 80
Filter length 32 not supported, using length 80
Callsign in test packet is: kk6bqj
Trying to decode packets from <./audio/nonOfficialRecordings/ot3test4800Mono1Packet.wav>
Audio rate is 48000, 1 channels, 2 bytes per frame, 16 bits per sample
10 0 -Switched Freq from null to: f_2200
81 2 -Switched Freq from f_2200 to: f_1200
110 1 -Switched Freq from f_1200 to: f_2200
148 1 -Switched Freq from f_2200 to: f_1200
194 1 -Switched Freq from f_1200 to: f_2200
234 1 -Switched Freq from f_2200 to: f_1200
267 1 -Switched Freq from f_1200 to: f_2200
321 1 -Switched Freq from f_2200 to: f_1200
350 1 -Switched Freq from f_1200 to: f_2200
387 1 -Switched Freq from f_2200 to: f_1200
434 1 -Switched Freq from f_1200 to: f_2200
640 5 -Switched Freq from f_2200 to: f_1200
670 1 -Switched Freq from f_1200 to: f_2200
707 1 -Switched Freq from f_2200 to: f_1200
754 1 -Switched Freq from f_1200 to: f_2200
867 3 -Switched Freq from f_2200 to: f_1200
914 1 -Switched Freq from f_1200 to: f_2200
953 1 -Switched Freq from f_2200 to: f_1200
986 1 -Switched Freq from f_1200 to: f_2200
1040 1 -Switched Freq from f_2200 to: f_1200
1070 1 -Switched Freq from f_1200 to: f_2200
1200 3 -Switched Freq from f_2200 to: f_1200
1230 1 -Switched Freq from f_1200 to: f_2200
1313 2 -Switched Freq from f_2200 to: f_1200
1346 1 -Switched Freq from f_1200 to: f_2200
1400 1 -Switched Freq from f_2200 to: f_1200
1510 3 -Switched Freq from f_1200 to: f_2200
1546 1 -Switched Freq from f_2200 to: f_1200
1593 1 -Switched Freq from f_1200 to: f_2200
1633 1 -Switched Freq from f_2200 to: f_1200
1706 2 -Switched Freq from f_1200 to: f_2200
1833 3 -Switched Freq from f_2200 to: f_1200
1866 1 -Switched Freq from f_1200 to: f_2200
1919 1 -Switched Freq from f_2200 to: f_1200
1949 1 -Switched Freq from f_1200 to: f_2200
1986 1 -Switched Freq from f_2200 to: f_1200
2153 4 -Switched Freq from f_1200 to: f_2200
2192 1 -Switched Freq from f_2200 to: f_1200
2225 1 -Switched Freq from f_1200 to: f_2200
2279 1 -Switched Freq from f_2200 to: f_1200
2349 2 -Switched Freq from f_1200 to: f_2200
2432 2 -Switched Freq from f_2200 to: f_1200
2505 2 -Switched Freq from f_1200 to: f_2200
2559 1 -Switched Freq from f_2200 to: f_1200
2589 1 -Switched Freq from f_1200 to: f_2200
2625 1 -Switched Freq from f_2200 to: f_1200
2713 2 -Switched Freq from f_1200 to: f_2200
2825 3 -Switched Freq from f_2200 to: f_1200
2912 2 -Switched Freq from f_1200 to: f_2200
2998 2 -Switched Freq from f_2200 to: f_1200
3029 1 -Switched Freq from f_1200 to: f_2200
3158 3 -Switched Freq from f_2200 to: f_1200
3189 1 -Switched Freq from f_1200 to: f_2200
3225 1 -Switched Freq from f_2200 to: f_1200
3272 1 -Switched Freq from f_1200 to: f_2200
3311 1 -Switched Freq from f_2200 to: f_1200
3356 1 -Switched Freq from f_1200 to: f_2200
3424 2 -Switched Freq from f_2200 to: f_1200
3472 1 -Switched Freq from f_1200 to: f_2200
3558 2 -Switched Freq from f_2200 to: f_1200
3588 1 -Switched Freq from f_1200 to: f_2200
3624 1 -Switched Freq from f_2200 to: f_1200
3792 4 -Switched Freq from f_1200 to: f_2200
3877 2 -Switched Freq from f_2200 to: f_1200
3948 2 -Switched Freq from f_1200 to: f_2200
4104 4 -Switched Freq from f_2200 to: f_1200
4192 2 -Switched Freq from f_1200 to: f_2200
4230 1 -Switched Freq from f_2200 to: f_1200
4315 2 -Switched Freq from f_1200 to: f_2200
4430 3 -Switched Freq from f_2200 to: f_1200
4555 3 -Switched Freq from f_1200 to: f_2200
4597 1 -Switched Freq from f_2200 to: f_1200
4628 1 -Switched Freq from f_1200 to: f_2200
4756 3 -Switched Freq from f_2200 to: f_1200
4868 3 -Switched Freq from f_1200 to: f_2200
4950 2 -Switched Freq from f_2200 to: f_1200
5075 3 -Switched Freq from f_1200 to: f_2200
5116 1 -Switched Freq from f_2200 to: f_1200
5147 1 -Switched Freq from f_1200 to: f_2200
5183 1 -Switched Freq from f_2200 to: f_1200
5231 1 -Switched Freq from f_1200 to: f_2200
5269 1 -Switched Freq from f_2200 to: f_1200
5355 2 -Switched Freq from f_1200 to: f_2200
5396 1 -Switched Freq from f_2200 to: f_1200
5427 1 -Switched Freq from f_1200 to: f_2200
5509 2 -Switched Freq from f_2200 to: f_1200
5555 1 -Switched Freq from f_1200 to: f_2200
5596 1 -Switched Freq from f_2200 to: f_1200
5707 3 -Switched Freq from f_1200 to: f_2200
5762 1 -Switched Freq from f_2200 to: f_1200
5831 2 -Switched Freq from f_1200 to: f_2200
5869 1 -Switched Freq from f_2200 to: f_1200
6034 4 -Switched Freq from f_1200 to: f_2200
6242 5 -Switched Freq from f_2200 to: f_1200
6351 3 -Switched Freq from f_1200 to: f_2200
6508 4 -Switched Freq from f_2200 to: f_1200
6674 4 -Switched Freq from f_1200 to: f_2200
6714 1 -Switched Freq from f_2200 to: f_1200
6867 4 -Switched Freq from f_1200 to: f_2200
6994 3 -Switched Freq from f_2200 to: f_1200
7026 1 -Switched Freq from f_1200 to: f_2200
7081 1 -Switched Freq from f_2200 to: f_1200
7110 1 -Switched Freq from f_1200 to: f_2200
7147 1 -Switched Freq from f_2200 to: f_1200
7194 1 -Switched Freq from f_1200 to: f_2200
7281 2 -Switched Freq from f_2200 to: f_1200
7310 1 -Switched Freq from f_1200 to: f_2200
7347 1 -Switched Freq from f_2200 to: f_1200
7473 3 -Switched Freq from f_1200 to: f_2200
7514 1 -Switched Freq from f_2200 to: f_1200
7626 3 -Switched Freq from f_1200 to: f_2200
7827 5 -Switched Freq from f_2200 to: f_1200
7953 3 -Switched Freq from f_1200 to: f_2200
7993 1 -Switched Freq from f_2200 to: f_1200
8026 1 -Switched Freq from f_1200 to: f_2200
8080 1 -Switched Freq from f_2200 to: f_1200
8269 5 -Switched Freq from f_1200 to: f_2200
8306 1 -Switched Freq from f_2200 to: f_1200
8353 1 -Switched Freq from f_1200 to: f_2200
8393 1 -Switched Freq from f_2200 to: f_1200
8426 1 -Switched Freq from f_1200 to: f_2200
8479 1 -Switched Freq from f_2200 to: f_1200
8549 2 -Switched Freq from f_1200 to: f_2200
8586 1 -Switched Freq from f_2200 to: f_1200
8633 1 -Switched Freq from f_1200 to: f_2200
8719 2 -Switched Freq from f_2200 to: f_1200
8789 2 -Switched Freq from f_1200 to: f_2200
8919 3 -Switched Freq from f_2200 to: f_1200
8989 2 -Switched Freq from f_1200 to: f_2200
9072 2 -Switched Freq from f_2200 to: f_1200
9225 4 -Switched Freq from f_1200 to: f_2200
9305 2 -Switched Freq from f_2200 to: f_1200
9432 3 -Switched Freq from f_1200 to: f_2200
9545 3 -Switched Freq from f_2200 to: f_1200
9592 1 -Switched Freq from f_1200 to: f_2200
9632 1 -Switched Freq from f_2200 to: f_1200
9665 1 -Switched Freq from f_1200 to: f_2200
9718 1 -Switched Freq from f_2200 to: f_1200
9868 4 -Switched Freq from f_1200 to: f_2200
9998 3 -Switched Freq from f_2200 to: f_1200
10028 1 -Switched Freq from f_1200 to: f_2200
10184 4 -Switched Freq from f_2200 to: f_1200
10232 1 -Switched Freq from f_1200 to: f_2200
10271 1 -Switched Freq from f_2200 to: f_1200
