No PTT port
decay = 1.444046e-05
samples per bit = 40.000
Filter for de-emphasis of 3dB is not availabe, using 6dB
Available filter length 40
Available filter length 80
Filter length 32 not supported, using length 80
Callsign in test packet is: kk6bqj
Trying to decode packets from <./audio/nonOfficialRecordings/ot3testwnoise4800Mono1Packet.wav>
Audio rate is 48000, 1 channels, 2 bytes per frame, 16 bits per sample
10 0 -Switched Freq from null to: f_2200
77 2 -Switched Freq from f_2200 to: f_1200
109 1 -Switched Freq from f_1200 to: f_2200
146 1 -Switched Freq from f_2200 to: f_1200
193 1 -Switched Freq from f_1200 to: f_2200
230 1 -Switched Freq from f_2200 to: f_1200
275 1 -Switched Freq from f_1200 to: f_2200
318 1 -Switched Freq from f_2200 to: f_1200
348 1 -Switched Freq from f_1200 to: f_2200
384 1 -Switched Freq from f_2200 to: f_1200
432 1 -Switched Freq from f_1200 to: f_2200
635 5 -Switched Freq from f_2200 to: f_1200
668 1 -Switched Freq from f_1200 to: f_2200
705 1 -Switched Freq from f_2200 to: f_1200
752 1 -Switched Freq from f_1200 to: f_2200
881 3 -Switched Freq from f_2200 to: f_1200
911 1 -Switched Freq from f_1200 to: f_2200
950 1 -Switched Freq from f_2200 to: f_1200
995 1 -Switched Freq from f_1200 to: f_2200
1039 1 -Switched Freq from f_2200 to: f_1200
1069 1 -Switched Freq from f_1200 to: f_2200
1198 3 -Switched Freq from f_2200 to: f_1200
1227 1 -Switched Freq from f_1200 to: f_2200
1308 2 -Switched Freq from f_2200 to: f_1200
1355 1 -Switched Freq from f_1200 to: f_2200
1397 1 -Switched Freq from f_2200 to: f_1200
1508 3 -Switched Freq from f_1200 to: f_2200
1544 1 -Switched Freq from f_2200 to: f_1200
1590 1 -Switched Freq from f_1200 to: f_2200
1630 1 -Switched Freq from f_2200 to: f_1200
1702 2 -Switched Freq from f_1200 to: f_2200
1828 3 -Switched Freq from f_2200 to: f_1200
1874 1 -Switched Freq from f_1200 to: f_2200
1915 1 -Switched Freq from f_2200 to: f_1200
1948 1 -Switched Freq from f_1200 to: f_2200
2004 1 -Switched Freq from f_2200 to: f_1200
2151 4 -Switched Freq from f_1200 to: f_2200
2187 1 -Switched Freq from f_2200 to: f_1200
2222 1 -Switched Freq from f_1200 to: f_2200
2275 1 -Switched Freq from f_2200 to: f_1200
2348 2 -Switched Freq from f_1200 to: f_2200
2427 2 -Switched Freq from f_2200 to: f_1200
2516 2 -Switched Freq from f_1200 to: f_2200
2555 1 -Switched Freq from f_2200 to: f_1200
2587 1 -Switched Freq from f_1200 to: f_2200
2643 1 -Switched Freq from f_2200 to: f_1200
2710 2 -Switched Freq from f_1200 to: f_2200
2841 3 -Switched Freq from f_2200 to: f_1200
2911 2 -Switched Freq from f_1200 to: f_2200
2995 2 -Switched Freq from f_2200 to: f_1200
3027 1 -Switched Freq from f_1200 to: f_2200
3153 3 -Switched Freq from f_2200 to: f_1200
3186 1 -Switched Freq from f_1200 to: f_2200
3221 1 -Switched Freq from f_2200 to: f_1200
3270 1 -Switched Freq from f_1200 to: f_2200
3307 1 -Switched Freq from f_2200 to: f_1200
